Departure Time (HH:MM:SS),Distance (m),Flows,Speed,Time Taken (s),Vehicle Type
20:00:00,11201,300,111.39116022099448,362,12
20:00:23,11201,300,117.21976744186047,344,1
20:00:24,11201,300,110.47561643835617,365,1
20:00:19,11201,300,107.5296,375,12
20:00:07,11201,300,102.34416243654822,394,1
20:00:12,11201,300,101.57078085642317,397,1
20:00:04,11201,300,93.99440559440559,429,1
20:01:05,11201,300,106.39472295514511,379,1
20:00:54,11201,300,100.55760598503741,401,1
20:00:25,11201,300,93.55823665893273,431,1
20:00:45,11201,300,97.87281553398059,412,1
20:01:35,11201,300,109.27804878048781,369,12
20:01:18,11201,300,104.46528497409327,386,1
20:00:26,11201,300,91.64454545454545,440,1
20:00:31,11201,300,90.20939597315436,447,1
20:01:21,11201,300,99.3192118226601,406,1
20:01:37,11201,300,98.83235294117647,408,12
20:01:26,11201,300,95.10283018867925,424,1
20:01:53,11201,300,101.06165413533836,399,12
20:01:34,11201,300,96.23770883054893,419,1
20:01:19,11201,300,92.91152073732718,434,14
20:02:11,11201,300,104.73662337662337,385,1
20:01:36,11201,300,95.55355450236966,422,1
20:00:27,11201,300,81.13400402414487,497,13
20:00:30,11201,300,81.29758064516129,496,1
20:00:48,11201,300,84.18288100208768,479,12
20:01:42,11201,300,94.65633802816902,426,1
20:00:55,11201,300,85.2507399577167,473,1
20:00:56,11201,300,85.2507399577167,473,1
20:02:16,11201,300,102.60458015267176,393,1
20:01:14,11201,300,88.42894736842105,456,1
20:02:40,11201,300,108.68894878706199,371,1
20:01:15,11201,300,88.23544857768053,457,1
20:02:00,11201,300,95.78052256532067,421,1
20:02:23,11201,300,97.87281553398059,412,12
20:01:16,11201,300,84.00750000000001,480,12
20:02:29,11201,300,99.07518427518428,407,1
20:01:39,11201,300,87.85098039215687,459,1
20:01:28,11201,300,85.61273885350319,471,1
20:02:01,11201,300,91.64454545454545,440,1
20:01:55,11201,300,90.20939597315436,447,1
20:02:08,11201,300,92.48532110091743,436,1
20:02:39,11201,300,98.1109489051095,411,1
20:02:17,11201,300,93.12609699769052,433,1
20:02:52,11201,300,100.30746268656716,402,1
20:01:46,11201,300,85.79489361702127,470,14
20:03:02,11201,300,102.34416243654822,394,1
20:01:50,11201,300,86.16153846153847,468,1
20:02:06,11201,300,85.97782515991472,469,1
20:03:21,11201,300,101.06165413533836,399,1
20:03:55,11201,300,110.17377049180328,366,1
20:03:14,11201,300,98.83235294117647,408,1
20:03:01,11201,300,94.21401869158879,428,1
20:03:34,11201,300,98.59070904645478,409,1
20:03:04,11201,300,90.61483146067417,445,1
20:04:01,11201,300,102.86632653061226,392,1
20:03:31,11201,300,95.32765957446809,423,1
20:03:30,11201,300,94.21401869158879,428,1
20:03:18,11201,300,91.22986425339367,442,14
20:03:52,11201,300,96.69928057553956,417,1
20:02:35,11201,300,80.00714285714285,504,1
20:02:42,11201,300,80.80881763527054,499,1
20:02:43,11201,300,80.80881763527054,499,1
20:02:57,11201,300,82.8,487,1
20:03:00,11201,300,83.14144329896908,485,1
20:03:49,11201,300,92.06301369863013,438,1
20:04:27,11201,300,100.80900000000001,400,1
20:04:05,11201,300,91.22986425339367,442,14
20:03:57,11201,300,88.42894736842105,456,12
20:03:44,11201,300,85.79489361702127,470,1
20:04:28,11201,300,94.21401869158879,428,1
20:05:03,11201,300,100.30746268656716,402,1
20:04:33,11201,300,92.27368421052631,437,1
20:05:08,11201,300,99.81089108910892,404,1
20:05:16,11201,300,99.56444444444445,405,14
20:05:39,11201,300,102.86632653061226,392,12
20:05:41,11201,300,103.12941176470589,391,1
20:05:38,11201,300,102.08506329113925,395,1
20:05:15,11201,300,95.78052256532067,421,1
20:05:29,11201,300,97.87281553398059,412,1
20:03:46,11201,300,78.14651162790697,516,1
20:04:03,11201,300,80.64720000000001,500,1
