Departure Time (HH:MM:SS),Distance (m),Flows,Speed,Time Taken (s),Vehicle Type
12:00:04,11201,1750,120.0107142857143,336,1
12:00:01,11201,1750,114.55568181818182,352,1
12:00:03,11201,1750,100.80900000000001,400,14
12:00:09,11201,1750,101.57078085642317,397,12
12:00:23,11201,1750,103.92680412371135,388,1
12:00:18,11201,1750,102.34416243654822,394,1
12:00:17,11201,1750,101.57078085642317,397,1
12:00:15,11201,1750,98.35024390243903,410,1
12:00:36,11201,1750,103.65964010282777,389,1
12:00:35,11201,1750,101.31557788944724,398,1
12:00:24,11201,1750,93.77581395348838,430,1
12:00:49,11201,1750,99.56444444444445,405,1
12:00:57,11201,1750,101.31557788944724,398,1
12:00:59,11201,1750,101.06165413533836,399,1
12:01:03,11201,1750,101.31557788944724,398,1
12:00:08,11201,1750,88.23544857768053,457,1
12:00:53,11201,1750,97.6358353510896,413,12
12:00:14,11201,1750,89.01456953642383,453,12
12:00:29,11201,1750,91.85330296127563,439,1
12:00:19,11201,1750,89.40931263858093,451,1
12:00:39,11201,1750,93.12609699769052,433,1
12:00:38,11201,1750,92.27368421052631,437,14
12:00:45,11201,1750,93.55823665893273,431,1
12:01:02,11201,1750,97.16530120481929,415,1
12:01:07,11201,1750,98.35024390243903,410,1
12:01:28,11201,1750,102.86632653061226,392,1
12:00:54,11201,1750,94.21401869158879,428,1
12:00:48,11201,1750,91.64454545454545,440,12
12:00:55,11201,1750,92.91152073732718,434,1
12:00:20,11201,1750,85.43135593220339,472,1
12:01:26,11201,1750,98.83235294117647,408,1
12:01:21,11201,1750,97.6358353510896,413,1
12:01:37,11201,1750,101.06165413533836,399,1
12:01:19,11201,1750,96.46794258373207,418,1
12:00:22,11201,1750,83.48571428571428,483,12
12:00:28,11201,1750,84.18288100208768,479,1
12:00:30,11201,1750,84.35899581589959,478,12
12:01:45,11201,1750,98.1109489051095,411,1
12:01:42,11201,1750,97.16530120481929,415,12
12:01:25,11201,1750,93.12609699769052,433,1
12:01:13,11201,1750,90.00803571428571,448,1
12:01:16,11201,1750,90.00803571428571,448,1
12:02:03,11201,1750,98.83235294117647,408,12
12:02:13,11201,1750,101.06165413533836,399,1
12:02:26,11201,1750,102.60458015267176,393,1
12:02:35,11201,1750,104.1953488372093,387,1
12:01:17,11201,1750,86.16153846153847,468,1
12:02:16,11201,1750,98.59070904645478,409,1
12:01:36,11201,1750,89.21150442477877,452,14
12:02:28,11201,1750,100.30746268656716,402,1
12:02:00,11201,1750,92.06301369863013,438,1
12:02:41,11201,1750,101.31557788944724,398,1
12:01:00,11201,1750,80.48622754491018,501,1
12:02:29,11201,1750,96.69928057553956,417,1
12:00:33,11214,1750,75.45869158878504,535,1
12:02:12,11201,1750,91.85330296127563,439,12
12:02:18,11201,1750,92.91152073732718,434,1
12:02:30,11201,1750,95.10283018867925,424,12
12:01:05,11201,1750,79.22121807465618,509,12
12:03:21,11201,1750,107.5296,375,1
12:01:10,11201,1750,79.69090909090909,506,12
12:01:11,11201,1750,79.5337278106509,507,1
12:01:22,11201,1750,81.13400402414487,497,1
12:02:33,11201,1750,94.43466042154567,427,1
12:01:33,11201,1750,82.63032786885246,488,1
12:01:38,11201,1750,83.31322314049588,484,1
12:01:44,11201,1750,84.18288100208768,479,1
12:02:19,11201,1750,88.81850220264317,454,1
12:02:08,11201,1750,86.16153846153847,468,1
12:02:22,11201,1750,88.23544857768053,457,1
12:02:23,11201,1750,87.85098039215687,459,1
12:02:59,11201,1750,95.10283018867925,424,1
12:02:11,11201,1750,84.89178947368421,475,1
12:03:15,11201,1750,97.87281553398059,412,1
12:02:57,11201,1750,92.91152073732718,434,12
12:02:48,11201,1750,90.81891891891892,444,1
12:03:37,11201,1750,101.31557788944724,398,1
12:01:49,11201,1750,79.22121807465618,509,1
12:03:29,11201,1750,98.59070904645478,409,1
12:00:26,11214,1750,68.07824620573356,593,1
12:02:55,11201,1750,90.41165919282511,446,12
12:02:34,11201,1750,85.79489361702127,470,1
12:01:57,11201,1750,78.91115459882583,511,1
12:02:07,11201,1750,80.32589641434262,502,1
12:01:46,11201,1750,76.95343511450382,524,13
12:03:41,11201,1750,98.35024390243903,410,1
12:01:50,11201,1750,77.24827586206897,522,1
12:03:20,11201,1750,93.34166666666667,432,1
12:02:04,11201,1750,79.22121807465618,509,1
12:02:14,11201,1750,80.64720000000001,500,1
12:03:38,11201,1750,96.69928057553956,417,1
12:03:19,11201,1750,91.85330296127563,439,1
12:03:36,11201,1750,95.32765957446809,423,1
12:03:24,11201,1750,92.06301369863013,438,12
12:02:43,11201,1750,84.00750000000001,480,1
12:02:51,11201,1750,85.2507399577167,473,1
12:02:36,11201,1750,82.46134969325153,489,1
12:03:22,11201,1750,91.02392776523702,443,1
12:03:51,11201,1750,96.93173076923077,416,12
12:03:04,11201,1750,86.16153846153847,468,1
12:04:04,11201,1750,98.59070904645478,409,1
12:02:53,11201,1750,83.48571428571428,483,1
12:02:45,11201,1750,81.95853658536585,492,12
12:04:13,11201,1750,98.1109489051095,411,12
12:04:05,11201,1750,96.00857142857143,420,1
12:04:01,11201,1750,94.87905882352942,425,12
12:03:58,11201,1750,94.21401869158879,428,1
12:04:07,11201,1750,95.32765957446809,423,1
12:03:47,11201,1750,90.41165919282511,446,12
12:04:03,11201,1750,92.69793103448275,435,14
12:03:34,11201,1750,86.16153846153847,468,14
12:04:25,11201,1750,96.00857142857143,420,1
12:04:18,11201,1750,94.21401869158879,428,1
12:04:38,11201,1750,98.59070904645478,409,1
12:03:52,11201,1750,88.42894736842105,456,14
12:03:49,11201,1750,87.66000000000001,460,1
12:03:56,11201,1750,88.62329670329672,455,12
12:04:09,11201,1750,91.02392776523702,443,1
12:03:05,11201,1750,78.91115459882583,511,1
12:04:23,11201,1750,92.91152073732718,434,1
12:04:37,11201,1750,95.10283018867925,424,1
12:02:32,11201,1750,73.05000000000001,552,13
12:02:49,11201,1750,75.23059701492537,536,1
12:02:50,11201,1750,75.0905027932961,537,1
